Severity,Start_Lat,Start_Lng
3,33.766376,-84.527321
3,33.786896,-84.493134
2,33.697849,-84.418266
3,33.696915,-84.404984
3,33.796211,-84.393692
3,33.791683,-84.391472
2,33.751411,-84.390968
3,33.781532,-84.390869
3,33.77129,-84.390472
3,33.744976,-84.390343
2,33.839458,-84.36927
2,33.821323,-84.367523
2,33.851852,-84.361008
3,33.821548,-84.359383
3,33.745556,-84.349213
3,33.917973,-84.338135
2,33.697849,-84.418266
3,33.741447,-84.417572
3,33.741333,-84.414047
3,33.766376,-84.527321
2,33.7756,-84.422287
3,33.757103,-84.468964
3,33.769001,-84.390511
2,33.773834,-84.369759
3,33.760628,-84.379715
3,33.681126,-84.398689
3,33.754379,-84.3787
2,33.982327,-84.341644
3,33.74424,-84.387733
2,33.781254,-84.407486
2,33.823555,-84.448212
3,33.805141,-84.413338
3,33.739838,-84.328239
2,33.754696,-84.407867
2,33.7854,-84.37838
3,33.722115,-84.394592
2,33.816216,-84.39035
2,33.808823,-84.399216
2,33.802216,-84.48571
3,33.864307,-84.479675
2,33.982327,-84.341644
2,33.842838,-84.362961
2,33.754311,-84.389763
2,33.851906,-84.369965
3,33.762119,-84.381516
3,33.791626,-84.391701
2,33.758179,-84.34922
2,33.911575,-84.357521
3,33.917973,-84.338135
3,33.754379,-84.3787
3,33.884594,-84.469887
3,33.884377,-84.250778
2,33.931988,-84.357719
3,33.585121,-84.51313
3,33.884594,-84.469887
3,33.881222,-84.453125
3,33.744976,-84.390343
3,33.619968,-84.4869
3,33.63892,-84.401093
3,33.74649,-84.430565
3,33.616844,-84.438622
2,33.619968,-84.4869
3,33.618126,-84.48774
3,33.864307,-84.479675
3,33.696915,-84.404984
2,33.784256,-84.378899
3,33.750488,-84.44416
2,33.696011,-84.486267
3,33.913116,-84.286316
2,33.771278,-84.38343
3,33.902916,-84.274139
2,33.837536,-84.368294
3,33.724018,-84.349449
3,33.885494,-84.251686
3,33.722115,-84.394592
3,33.7369,-84.391853
3,33.7369,-84.391853
3,33.7369,-84.391853
2,33.982327,-84.341644
3,33.744976,-84.390343
2,33.933468,-84.357735
3,33.912338,-84.379128
3,33.884594,-84.469887
3,33.831097,-84.426346
3,33.89185,-84.259369
3,33.754147,-84.378761
3,33.757103,-84.468964
2,33.855816,-84.382645
3,33.645809,-84.398575
3,33.748371,-84.385223
3,33.786976,-84.390915
2,33.771191,-84.371773
2,33.81385,-84.468491
3,33.803047,-84.407753
2,33.797096,-84.368988
2,33.781494,-84.38781
2,33.719879,-84.488106
2,33.837536,-84.368294
2,33.840199,-84.379501
2,33.854336,-84.382645
2,33.821323,-84.367523
2,33.69014,-84.506256
2,33.804775,-84.393608
2,33.852024,-84.369621
3,33.902916,-84.274139
3,33.759472,-84.378876
3,33.885494,-84.251686
3,33.742832,-84.403595
3,33.744976,-84.390343
3,33.690125,-84.500153
3,33.665138,-84.418549
3,33.892895,-84.260452
3,33.690125,-84.500153
3,33.681328,-84.411522
3,33.617954,-84.484985
3,33.745052,-84.389732
3,33.745556,-84.349213
3,33.885162,-84.251266
3,33.656929,-84.497757
3,33.619576,-84.460335
3,33.743549,-84.332092
3,33.89106,-84.459381
3,33.831833,-84.426376
3,33.753635,-84.495628
2,33.699425,-84.457336
3,33.823265,-84.355835
3,33.744976,-84.390343
3,33.683865,-84.310005
2,33.852024,-84.369621
3,33.683865,-84.310005
2,33.846313,-84.368347
2,33.773819,-84.359955
2,33.750694,-84.446144
3,33.742722,-84.40332
3,33.77092,-84.390503
3,33.892677,-84.26017
3,33.754379,-84.3787
3,33.759472,-84.378876
3,33.890293,-84.460991
3,33.874134,-84.249619
3,33.745556,-84.349213
3,33.744976,-84.390343
3,33.681328,-84.411522
3,33.690125,-84.500153
3,33.695187,-84.404877
2,33.911575,-84.357521
3,33.744976,-84.390343
3,33.821548,-84.359383
3,33.584824,-84.513527
3,33.656479,-84.497551
3,33.629498,-84.455986
3,33.744976,-84.390343
3,33.803047,-84.407753
3,33.796211,-84.393692
3,33.757103,-84.468964
3,33.744976,-84.390343
3,33.751446,-84.446114
2,33.681293,-84.407715
3,33.908504,-84.429779
3,33.791622,-84.391998
3,33.916046,-84.406662
3,33.649498,-84.39698
3,33.796211,-84.393692
3,33.771286,-84.390045
3,33.821548,-84.359383
3,33.805141,-84.413338
2,33.823273,-84.367271
2,33.607605,-84.530266
3,33.786896,-84.493134
2,33.852024,-84.369621
2,33.850418,-84.361984
3,33.764793,-84.492996
3,33.771286,-84.390045
3,33.832123,-84.335274
3,33.786633,-84.391457
3,33.803047,-84.407753
3,33.796211,-84.393692
2,33.786594,-84.383141
3,33.765018,-84.493874
2,33.718285,-84.425163
3,33.781532,-84.390869
3,33.754379,-84.3787
2,33.741825,-84.368149
3,33.757103,-84.468964
3,33.688072,-84.399773
3,33.796211,-84.393692
2,33.741898,-84.387787
3,33.831833,-84.426376
3,33.764664,-84.493813
3,33.743267,-84.368134
3,33.766376,-84.527321
3,33.794186,-84.393486
2,33.717121,-84.368553
3,33.848824,-84.431076
2,33.852024,-84.369621
3,33.690769,-84.499954
3,33.881222,-84.453125
2,33.933468,-84.357735
3,33.864868,-84.439674
3,33.638821,-84.456047
3,33.885494,-84.251686
2,33.768059,-84.441032
3,33.885029,-84.469032
3,33.744041,-84.391266
3,33.893784,-84.258789
3,33.681328,-84.411522
3,33.631893,-84.409958
3,33.684116,-84.407883
3,33.765018,-84.493874
3,33.744976,-84.390343
2,33.802658,-84.392876
3,33.744976,-84.390343
3,33.6413,-84.45269
3,33.758026,-84.503181
3,33.825825,-84.367142
2,33.92474,-84.24958
3,33.885494,-84.251686
3,33.805141,-84.413338
2,33.737072,-84.387993
3,33.813236,-84.366219
3,33.753635,-84.495628
3,33.890293,-84.460991
2,33.820595,-84.451088
3,33.616844,-84.438622
2,33.774509,-84.341789
3,33.831833,-84.426376
2,33.719887,-84.486351
3,33.820553,-84.361038
2,33.772469,-84.348961
3,33.840328,-84.313011
3,33.786709,-84.391029
3,33.791946,-84.390762
2,33.77383,-84.348961
3,33.741447,-84.417572
3,33.684116,-84.407883
3,33.840328,-84.313011
2,33.797207,-84.388901
2,33.911575,-84.357521
2,33.786896,-84.493134
3,33.759735,-84.379005
3,33.890293,-84.460991
3,33.697002,-84.404778
3,33.821548,-84.359383
2,33.741898,-84.387787
3,33.832123,-84.335274
3,33.890293,-84.460991
3,33.832123,-84.335274
3,33.722115,-84.394592
3,33.901691,-84.473511
3,33.890293,-84.460991
2,33.771091,-84.359467
3,33.632896,-84.400795
3,33.884609,-84.469574
3,33.744976,-84.390343
3,33.821548,-84.359383
3,33.689625,-84.500145
2,33.79184,-84.388725
3,33.781532,-84.390869
2,33.843021,-84.372551
3,33.754379,-84.378365
3,33.744976,-84.390343
3,33.917973,-84.338135
3,33.690125,-84.500153
3,33.619968,-84.4869
2,33.852554,-84.430801
3,33.742832,-84.403595
3,33.79591,-84.393295
2,33.852024,-84.369621
2,33.745556,-84.349213
3,33.656479,-84.497551
2,33.773575,-84.363686
3,33.831833,-84.426376
3,33.799355,-84.488449
3,33.764847,-84.493484
2,33.681293,-84.407715
3,33.742832,-84.403595
2,33.77383,-84.358757
3,33.741447,-84.417572
2,33.781532,-84.404182
3,33.801479,-84.392738
3,33.759472,-84.378876
3,33.781532,-84.390869
2,33.732933,-84.510254
3,33.884594,-84.469887
3,33.771286,-84.390045
3,33.736881,-84.391853
2,33.718285,-84.425163
3,33.722115,-84.394592
3,33.7369,-84.391853
3,33.771286,-84.390045
3,33.748379,-84.385208
2,33.837074,-84.381424
3,33.730183,-84.392754
3,33.91246,-84.285957
3,33.753635,-84.495628
2,33.828655,-84.387436
3,33.890293,-84.460991
3,33.741447,-84.417572
3,33.791348,-84.390755
3,33.786572,-84.390694
3,33.913116,-84.286316
2,33.933186,-84.357956
3,33.74284,-84.422661
3,33.722965,-84.502815
3,33.690125,-84.500153
3,33.722965,-84.502815
3,33.690125,-84.500153
3,33.65292,-84.396118
2,33.911205,-84.370491
3,33.681126,-84.398689
3,33.885494,-84.251686
2,33.827587,-84.387466
3,33.89185,-84.259369
3,33.79213,-84.391609
2,33.747391,-84.379532
3,33.982327,-84.341644
3,33.703281,-84.403809
2,33.849907,-84.372963
3,33.7369,-84.391853
3,33.803047,-84.407753
2,33.825024,-84.35984
2,33.934856,-84.356506
3,33.744976,-84.390343
2,33.77383,-84.348961
2,33.804714,-84.337563
3,33.619968,-84.4869
3,33.620445,-84.47348
2,33.735683,-84.368202
3,33.8237,-84.351959
2,33.982327,-84.341644
3,33.765018,-84.493874
2,33.825172,-84.359627
2,33.837074,-84.381424
3,33.754379,-84.3787
3,33.739838,-84.328239
2,33.861485,-84.380402
3,33.821548,-84.359383
3,33.681126,-84.398689
2,33.933468,-84.357735
3,33.864307,-84.479675
2,33.742615,-84.409851
2,33.875725,-84.38044
3,33.912338,-84.379128
2,33.724018,-84.349449
3,33.765018,-84.493874
3,33.632088,-84.388069
3,33.898949,-84.248711
3,33.598312,-84.493004
2,33.692108,-84.490196
3,33.803047,-84.407753
3,33.791958,-84.391464
3,33.759056,-84.379333
3,33.744991,-84.389542
3,33.77383,-84.348961
3,33.901691,-84.473511
2,33.838207,-84.380882
2,33.821323,-84.367523
3,33.781532,-84.390869
3,33.743271,-84.379326
3,33.781532,-84.390869
3,33.920391,-84.314781
2,33.753662,-84.473091
3,33.766376,-84.527321
3,33.722115,-84.394592
3,33.831833,-84.426376
2,33.713814,-84.368591
2,33.933468,-84.357735
2,33.958435,-84.355354
3,33.765018,-84.493874
