Severity,Start_Lat,Start_Lng
2,35.784996,-78.584091
2,35.803638,-78.693962
2,35.855869,-78.573517
2,35.914761,-78.68132
2,35.898434,-78.611366
2,35.869141,-78.648628
2,35.87355,-78.727692
2,35.90168,-78.656303
2,35.849838,-78.606018
2,35.87355,-78.727692
3,35.78149,-78.572266
2,35.73489,-78.650444
2,35.85585,-78.555054
2,35.776966,-78.558968
2,35.849476,-78.587173
2,35.748608,-78.701759
2,35.869629,-78.577316
2,35.83659,-78.613663
2,35.882221,-78.646141
2,35.785011,-78.687027
2,35.757298,-78.61409
2,35.773331,-78.725113
3,35.776966,-78.558968
2,35.79575,-78.652924
2,35.782188,-78.628891
2,35.776829,-78.694
2,35.77969,-78.641747
2,35.871262,-78.666542
2,35.753044,-78.648788
2,35.834797,-78.638512
2,35.801411,-78.563164
2,35.844509,-78.579964
2,35.740871,-78.670273
2,35.838375,-78.674278
2,35.902039,-78.807571
2,35.781719,-78.585709
2,35.83337,-78.679428
2,35.731331,-78.651222
2,35.790058,-78.607849
2,35.867779,-78.522308
2,35.7355,-78.650429
3,35.767906,-78.574097
2,35.984852,-78.707062
2,35.908058,-78.60067
2,35.872601,-78.525421
2,35.882221,-78.646141
2,35.903641,-78.584602
2,35.87532,-78.623222
2,35.774971,-78.656548
2,35.892769,-78.559616
2,35.83952,-78.642281
2,35.818905,-78.595901
2,35.784191,-78.69381
2,35.821449,-78.628952
2,35.78997,-78.6343
2,35.842049,-78.589897
2,35.606239,-78.660957
2,35.748806,-78.648949
3,35.751919,-78.701302
3,35.834835,-78.671143
2,35.753834,-78.636101
2,35.900959,-78.652222
2,35.844509,-78.579964
2,35.766041,-78.648087
2,35.870861,-78.580482
2,35.912281,-78.580803
2,35.840019,-78.508652
2,35.944592,-78.555756
2,35.78149,-78.572266
2,35.78735,-78.587082
2,35.856049,-78.566788
2,35.855091,-78.58107
2,35.916698,-78.594337
3,35.835552,-78.645973
3,35.805298,-78.59597
2,35.698792,-78.480682
2,35.811352,-78.565781
2,35.888889,-78.747627
2,35.806938,-78.615349
3,35.776966,-78.558968
2,35.831188,-78.569229
3,35.751919,-78.701302
2,35.77076,-78.583214
3,35.834797,-78.638512
2,35.8638,-78.635513
3,35.753834,-78.636101
3,35.834835,-78.671143
2,35.841358,-78.664124
2,35.886051,-78.553864
2,35.665321,-78.699409
2,35.870861,-78.580482
2,35.791729,-78.662811
2,35.904678,-78.588753
2,35.778221,-78.638229
2,35.870861,-78.580482
2,35.730011,-78.55616
2,35.812759,-78.738106
2,35.856171,-78.641243
2,35.794441,-78.537491
2,35.88422,-78.59185
2,35.827309,-78.620354
2,35.851639,-78.628883
2,35.88422,-78.59185
2,35.88422,-78.59185
2,35.884296,-78.740807
2,35.787689,-78.634407
2,35.834709,-78.602211
2,35.906105,-78.785957
2,35.768372,-78.694199
2,35.748169,-78.606499
2,35.75177,-78.563721
2,35.724762,-78.651421
2,35.889381,-78.551819
2,35.847382,-78.644302
2,35.640739,-78.711998
2,35.835602,-78.593109
2,35.848419,-78.563087
3,35.815208,-78.605576
2,35.765396,-78.559036
2,35.834835,-78.671143
2,35.75037,-78.695633
2,35.85313,-78.607719
3,35.816441,-78.690262
2,35.886215,-78.679497
2,35.806499,-78.639168
3,35.764874,-78.739777
2,35.854988,-78.701492
2,35.915722,-78.77684
2,35.792557,-78.585403
2,35.834835,-78.671143
2,35.787811,-78.587753
2,35.889771,-78.562462
2,35.73233,-78.611649
2,35.753044,-78.648788
2,35.867489,-78.571503
2,35.801258,-78.685219
2,35.751919,-78.701302
2,35.950409,-78.571159
2,35.884418,-78.57914
2,35.834881,-78.606232
2,35.963089,-78.562813
2,35.835079,-78.582458
2,35.848412,-78.67868
2,35.83952,-78.642281
2,35.887051,-78.58268
2,35.798546,-78.562859
2,35.886715,-78.744179
2,35.807251,-78.621071
2,35.829929,-78.666878
2,35.863621,-78.577873
2,35.735489,-78.649048
2,35.82338,-78.527481
2,35.81818,-78.5811
2,35.777119,-78.67849
2,35.824211,-78.587433
2,35.886215,-78.679497
2,35.91898,-78.79097
2,35.665321,-78.699409
3,35.835442,-78.667099
4,35.834507,-78.63855
2,35.756939,-78.588219
2,35.753044,-78.648788
2,35.844833,-78.569305
2,35.752441,-78.592606
2,35.835079,-78.582458
2,35.86652,-78.582237
2,35.884296,-78.740807
3,35.747948,-78.59404
2,35.804569,-78.646111
2,35.794411,-78.582787
2,35.74929,-78.694138
2,35.769348,-78.638931
2,35.815708,-78.694679
2,35.82325,-78.608658
2,35.904575,-78.588379
2,35.855091,-78.58107
2,35.885731,-78.627274
2,35.753834,-78.636101
2,35.816441,-78.690262
2,35.839863,-78.67688
2,35.875938,-78.540314
2,35.901344,-78.681114
2,35.901344,-78.681114
2,35.86734,-78.563652
2,35.834835,-78.671143
2,35.785198,-78.72168
2,35.718739,-78.654572
2,35.756924,-78.665741
2,35.790562,-78.544228
2,35.75177,-78.563721
2,35.796898,-78.694412
2,35.757298,-78.61409
2,35.813339,-78.536819
2,35.914089,-78.783997
2,35.81987,-78.742027
2,35.848991,-78.614754
2,35.735489,-78.649048
2,35.77047,-78.619949
2,35.848148,-78.5961
2,35.884296,-78.740807
2,35.751919,-78.701302
2,35.78072,-78.675522
2,35.801979,-78.618446
2,35.853859,-78.70311
2,35.756939,-78.623421
2,35.757298,-78.61409
2,35.717831,-78.655029
2,35.844509,-78.579964
2,35.78091,-78.650551
2,35.740028,-78.668762
2,35.78595,-78.706223
2,35.794411,-78.582787
2,35.78072,-78.675522
2,35.77552,-78.680862
4,35.767555,-78.574356
3,35.767586,-78.736092
3,35.751854,-78.593437
2,35.777611,-78.560303
2,35.88319,-78.51017
2,35.871559,-78.641701
2,35.737572,-78.53347
2,35.875938,-78.540314
2,35.784019,-78.643188
2,35.810459,-78.601044
2,35.775749,-78.643608
