Severity,Start_Lat,Start_Lng
2,38.481682,-121.408768
3,38.682713,-121.336288
2,38.618011,-121.401459
2,38.481689,-121.396133
3,38.671062,-121.591881
2,38.566139,-121.336296
3,38.564201,-121.513878
2,38.556145,-121.443192
2,38.714298,-121.540237
3,38.606236,-121.508064
3,38.686363,-121.33287
3,38.522472,-121.521584
2,38.510151,-121.459702
3,38.644184,-121.388313
2,38.559532,-121.373085
2,38.494873,-121.450287
2,38.478897,-121.421066
2,38.588772,-121.404259
3,38.641266,-121.473755
3,38.631653,-121.397972
3,38.546047,-121.509056
2,38.676525,-121.359612
2,38.675251,-121.352432
2,38.667656,-121.33844
3,38.64341,-121.434265
3,38.559505,-121.467201
3,38.546028,-121.509315
3,38.618366,-121.529411
3,38.64315,-121.434677
2,38.601833,-121.382904
2,38.660831,-121.337288
3,38.661053,-121.359779
2,38.496124,-121.390579
2,38.524895,-121.467789
2,38.510448,-121.460121
2,38.553505,-121.409332
3,38.637241,-121.411476
2,38.661057,-121.364296
3,38.62479,-121.517189
2,38.553349,-121.436615
3,38.633633,-121.500381
3,38.640564,-121.47773
3,38.671021,-121.549782
2,38.53627,-121.447952
3,38.639168,-121.384186
2,38.642067,-121.380585
2,38.496033,-121.446091
2,38.55061,-121.422722
2,38.574223,-121.406075
2,38.600388,-121.373932
2,38.553822,-121.409431
2,38.524895,-121.467789
3,38.631481,-121.505196
3,38.577106,-121.507812
2,38.524895,-121.467789
3,38.664715,-121.355934
3,38.630039,-121.519768
2,38.524895,-121.467789
2,38.703709,-121.345932
2,38.510437,-121.450638
2,38.637184,-121.38298
2,38.447723,-121.430908
3,38.631481,-121.505196
3,38.572765,-121.467667
3,38.679146,-121.340164
3,38.650574,-121.371658
3,38.67136,-121.591324
2,38.562206,-121.487221
3,38.540779,-121.510918
2,38.560009,-121.348335
2,38.610249,-121.364525
3,38.547245,-121.362389
2,38.524895,-121.467789
2,38.544781,-121.473984
2,38.621574,-121.401459
3,38.550304,-121.473862
3,38.550556,-121.473862
2,38.458946,-121.409081
2,38.7146,-121.607239
2,38.553822,-121.409431
2,38.50024,-121.435188
3,38.637119,-121.522736
3,38.562206,-121.487221
3,38.538475,-121.512871
2,38.524895,-121.467789
3,38.661053,-121.359779
2,38.55938,-121.468048
3,38.540779,-121.510918
2,38.692959,-121.351631
2,38.550488,-121.427864
2,38.56583,-121.33638
2,38.481644,-121.334816
2,38.558128,-121.473961
3,38.67136,-121.591324
2,38.500584,-121.431229
3,38.562206,-121.487221
3,38.559971,-121.466576
3,38.62479,-121.517189
3,38.564735,-121.497742
3,38.64341,-121.434265
3,38.68597,-121.333305
3,38.671066,-121.590378
3,38.621254,-121.523941
2,38.558155,-121.386147
2,38.560539,-121.464165
2,38.574242,-121.415268
2,38.574345,-121.383034
2,38.573273,-121.46711
3,38.558128,-121.473961
2,38.52491,-121.471764
2,38.610733,-121.405228
2,38.474407,-121.419067
2,38.628674,-121.382973
3,38.563271,-121.514771
3,38.560204,-121.479736
2,38.660831,-121.337288
2,38.560707,-121.463318
3,38.64109,-121.451973
